Country,Year,Renewables_equivalent_primary_energy,CO2,CO2_per_capita,Total_GHG,UN_Region,Region_Canonical,Renewables_grow_yoy,CO2_grow_yoy,CO2_per_renewable_unit,CO2_lag1,Renewables_lag1,CO2_lag2,Renewables_lag2
Algeria,1992,0.17263989,79.883,3.0,165.198,Northern Africa,Africa,-0.3381038780374338,0.013653609450936965,462.71461363882935,78.807,0.26082626,76.738,0.11906669
Algeria,1993,0.32912087,81.944,3.004,171.063,Northern Africa,Africa,0.906401064087796,0.025800232840529347,248.9784376177664,79.883,0.17263989,78.807,0.26082626
Algeria,1994,0.15274073,88.608,3.177,175.045,Northern Africa,Africa,-0.5359129610954176,0.08132383090891349,580.1203123750947,81.944,0.32912087,79.883,0.17263989
Algeria,1995,0.1712212,96.777,3.399,192.565,Northern Africa,Africa,0.12099241636464608,0.09219257854821228,565.2162232246942,88.608,0.15274073,81.944,0.32912087
Algeria,1996,0.12100656,100.039,3.446,196.756,Northern Africa,Africa,-0.29327349650627377,0.033706355849013825,826.7237743143843,96.777,0.1712212,88.608,0.15274073
Algeria,1997,0.06994659,88.369,2.988,179.375,Northern Africa,Africa,-0.4219603466126134,-0.1166545047431502,1263.3782433139343,100.039,0.12100656,96.777,0.1712212
Algeria,1998,0.19370805,106.537,3.545,196.014,Northern Africa,Africa,1.7693708871297371,0.20559245889395616,549.987468254417,88.369,0.06994659,100.039,0.12100656
Algeria,1999,0.18108313,91.449,3.001,183.054,Northern Africa,Africa,-0.06517498885565154,-0.1416221594375664,505.01115150814985,106.537,0.19370805,88.369,0.06994659
Algeria,2000,0.05001067,85.399,2.763,183.103,Northern Africa,Africa,-0.7238247980361285,-0.06615709302452732,1707.615594832063,91.449,0.18108313,106.537,0.19370805
Algeria,2001,0.061327934,86.839,2.772,175.084,Northern Africa,Africa,0.22629698822271327,0.01686202414548177,1415.9779130991108,85.399,0.05001067,91.449,0.18108313
Algeria,2002,0.048507243,90.692,2.856,175.335,Northern Africa,Africa,-0.20905140877564865,0.04436946533239672,1869.6589290799313,86.839,0.061327934,85.399,0.05001067
Algeria,2003,0.2143434,94.581,2.939,187.613,Northern Africa,Africa,3.418791643136675,0.04288140078507485,441.2592130198551,90.692,0.048507243,86.839,0.061327934
Algeria,2004,0.19449507,91.714,2.811,181.704,Northern Africa,Africa,-0.09260061191527236,-0.030312642073989537,471.5492274431429,94.581,0.2143434,90.692,0.048507243
Algeria,2005,0.40765893,110.993,3.352,201.883,Northern Africa,Africa,1.0959859291034988,0.21020781996205584,272.2692717659834,91.714,0.19449507,94.581,0.2143434
