Country,Year,Renewables_equivalent_primary_energy,owid-co2-data (2).co2,owid-co2-data (2).co2_per_capita,owid-co2-data (2).total_ghg
Algeria,1990,0.11906669,76.738,3.024,160.869
Algeria,1991,0.26082626,78.807,3.032,169.126
Algeria,1992,0.17263989,79.883,3,165.198
Algeria,1993,0.32912087,81.944,3.004,171.063
Algeria,1994,0.15274073,88.608,3.177,175.045
Algeria,1995,0.1712212,96.777,3.399,192.565
Algeria,1996,0.12100656,100.039,3.446,196.756
Algeria,1997,0.06994659,88.369,2.988,179.375
Algeria,1998,0.19370805,106.537,3.545,196.014
Algeria,1999,0.18108313,91.449,3.001,183.054
Algeria,2000,0.05001067,85.399,2.763,183.103
Algeria,2001,0.061327934,86.839,2.772,175.084
Algeria,2002,0.048507243,90.692,2.856,175.335
Algeria,2003,0.2143434,94.581,2.939,187.613
Algeria,2004,0.19449507,91.714,2.811,181.704
Algeria,2005,0.40765893,110.993,3.352,201.883
Algeria,2006,0.15344006,105.896,3.149,200.438
Algeria,2007,0.1504157,109.889,3.214,200.464
Algeria,2008,0.17631334,111.087,3.191,204.95
Algeria,2009,0.20000759,118.856,3.349,205.922
Algeria,2010,0.10803143,118.353,3.27,210.812
Algeria,2011,0.22096606,125.095,3.39,217.176
Algeria,2012,0.21108034,135.674,3.604,229.93
Algeria,2013,0.060776502,140.786,3.665,233.758
Algeria,2014,0.110372595,151.283,3.859,247.471
Algeria,2015,0.09101885,160.087,4,257.118
Algeria,2016,0.13686113,158.482,3.88,260.646
Algeria,2017,0.23208226,165.174,3.962,267.287
Algeria,2018,0.27123353,172.705,4.063,276.094
Algeria,2019,0.27703846,179.907,4.155,280.463
Algeria,2020,0.2825046,168.178,3.819,264.184
Algeria,2021,0.23804712,179.596,4.012,283.354
Algeria,2022,0.22791375,184.558,4.058,290.326
Algeria,2023,0.22667149,178.133,3.859,282.645
Argentina,1990,9.72907,112.149,3.424,312.334
Argentina,1991,8.570026,117.755,3.544,346.004
Argentina,1992,9.639757,121.535,3.607,342.419
Argentina,1993,11.552494,118.001,3.455,335.297
Argentina,1994,12.563101,118.469,3.423,337.789
Argentina,1995,11.829992,125.277,3.572,347.306
Argentina,1996,9.646128,131.15,3.693,350.828
Argentina,1997,11.7813425,136.553,3.799,358.378
Argentina,1998,10.780106,139.32,3.83,360.215
Argentina,1999,8.606011,148.304,4.031,375.176
Argentina,2000,11.556684,143.469,3.855,376.635
Argentina,2001,15.036309,135.137,3.592,375.235
Argentina,2002,15.334841,124.931,3.285,438.218
Argentina,2003,13.613283,134.481,3.5,496.371
Argentina,2004,11.464811,157.049,4.046,548.137
Argentina,2005,12.031582,161.589,4.12,561.961
Argentina,2006,12.677819,174.309,4.399,578.216
Argentina,2007,10.023992,173.581,4.338,509.561
Argentina,2008,9.871803,187.342,4.634,489.573
Argentina,2009,11.193401,178.181,4.361,581.036
Argentina,2010,11.091996,185.946,4.504,532.046
Argentina,2011,10.412118,189.775,4.548,530.076
Argentina,2012,9.701297,191.362,4.539,492.679
Argentina,2013,10.134094,189.538,4.451,465.765
Argentina,2014,10.396154,188.397,4.379,484.721
Argentina,2015,10.275299,191.744,4.41,451.467
Argentina,2016,9.586403,189.92,4.326,443.72
Argentina,2017,10.4453335,186.899,4.22,421.577
Argentina,2018,10.823792,180.599,4.044,418.329
Argentina,2019,11.416995,178.508,3.969,436.947
Argentina,2020,11.833357,165.121,3.654,396.199
Argentina,2021,10.9474535,191.108,4.218,416.624
Argentina,2022,12.009511,204.081,4.494,433.366
Argentina,2023,14.100092,195.806,4.3,422.011
Australia,1990,4.137041,278.16,16.242,532.292
Australia,1991,4.3940225,279.534,16.109,513.691
Australia,1992,4.3885193,284.529,16.213,557.035
Australia,1993,4.406949,288.874,16.299,566.656
Australia,1994,4.1957083,293.701,16.41,557.506
Australia,1995,4.001723,305.056,16.858,645.68
Australia,1996,3.9997537,311.941,17.041,649.001
Australia,1997,3.9143484,320.333,17.311,629.577
Australia,1998,3.8129077,334.136,17.867,680.273
Australia,1999,3.7857795,343.959,18.189,696.619
Australia,2000,3.7645082,350.008,18.294,745.01
Australia,2001,3.655366,357.784,18.475,726.142
Australia,2002,3.7108545,362.537,18.501,694.026
Australia,2003,3.7965071,369.63,18.65,702.678
Australia,2004,3.8290668,383.159,19.113,735.504
Australia,2005,4.095098,386.176,19.029,632.909
Australia,2006,4.023526,392.36,19.055,664.152
Australia,2007,3.7864707,399.475,19.064,693.954
Australia,2008,3.499129,404.84,18.944,753.943
Australia,2009,3.7221737,407.094,18.689,693.025
Australia,2010,4.0876446,405.131,18.297,857.474
Australia,2011,5.3919606,403.858,17.965,827.467
Australia,2012,5.399917,406.197,17.775,780.43
Australia,2013,6.1726875,399.068,17.174,676.871
Australia,2014,5.6627235,392.729,16.644,660.795
Australia,2015,5.9553065,401.497,16.765,635.95
Australia,2016,6.7850986,410.388,16.868,654.491
Australia,2017,6.3734684,413.818,16.733,685.722
Australia,2018,7.847639,415.591,16.544,662.327
Australia,2019,8.40721,415.77,16.316,627.438
Australia,2020,10.29223,399.184,15.506,608.284
Australia,2021,12.282586,389.02,14.987,609.463
Australia,2022,13.247022,384.362,14.67,605.939
Australia,2023,14.323447,382.972,14.478,580.988
Austria,1990,27.76444,62.184,8.097,76.185
Austria,1991,26.52839,65.782,8.48,80.108
Austria,1992,29.827892,60.283,7.686,73.3
Austria,1993,30.718403,60.709,7.677,73.379
Austria,1994,30.027718,61.083,7.695,73.262
Austria,1995,30.140165,64.061,8.058,75.726
Austria,1996,27.074467,67.405,8.467,79.158
Austria,1997,28.264048,67.302,8.445,79.395
Austria,1998,28.531652,66.937,8.39,79.504
Austria,1999,30.66756,65.668,8.215,77.358
Austria,2000,31.26769,66.177,8.259,76.664
Austria,2001,29.411423,70.166,8.725,80.562
Austria,2002,28.923092,71.969,8.905,82.308
Austria,2003,24.120514,77.396,9.528,89.567
Austria,2004,26.119173,77.694,9.506,87.858
Austria,2005,26.316614,79.092,9.611,89.018
Austria,2006,26.989784,76.812,9.288,87.043
Austria,2007,29.094082,74.112,8.932,84.846
Austria,2008,29.577007,73.49,8.829,84.613
Austria,2009,32.5476,67.307,8.065,77.505
Austria,2010,30.113115,72.008,8.608,82.282
Austria,2011,29.15819,69.901,8.328,80.099
